disease,race,realworld_distribution,Kolors_eng,Kolors_eng_p,Kolors_chi,Kolors_chi_p,Qwen-Image_eng,Qwen-Image_eng_p,Qwen-Image_chi,Qwen-Image_chi_p,flux_eng,flux_eng_p,flux_chi,flux_chi_p,stable_diffusion_3.5_large_turbo_eng,stable_diffusion_3.5_large_turbo_eng_p,stable_diffusion_3.5_large_turbo_chi,stable_diffusion_3.5_large_turbo_chi_p
Amyotrophic Lateral Sclerosis,White,66.67,62,62,100,100,4,4,3,3,100,100,0,0,99,99,0,0
Amyotrophic Lateral Sclerosis,Black,6.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amyotrophic Lateral Sclerosis,Asian,0,35,35,0,0,96,96,97,97,0,0,6,6,0,0,67,67
Amyotrophic Lateral Sclerosis,Hispanic/Latino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amyotrophic Lateral Sclerosis,Unknown,26.83,0,0,0,0,0,0,0,0,0,0,94,94,1,1,33,33
Bacterial Pneumonia,White,61,25,25,74,74,29,29,25,25,98,98,0,0,95,95,0,0
Bacterial Pneumonia,Black,25,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacterial Pneumonia,Asian,0,42,42,0,0,71,71,75,75,1,1,12,12,0,0,72,72
Bacterial Pneumonia,Hispanic/Latino,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Bacterial Pneumonia,Unknown,11,0,0,26,26,0,0,0,0,0,0,88,88,5,5,28,28
Colon cancer,White,62.5876506,24,24,95,95,7,7,8,8,97,97,0,0,95,95,0,0
Colon cancer,Black,15.58057229,30,30,3,3,1,1,0,0,2,2,0,0,0,0,0,0
Colon cancer,Asian,5.171385542,45,45,2,2,92,92,92,92,0,0,12,12,0,0,79,79
Colon cancer,Hispanic/Latino,18.6436747,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Colon cancer,Unknown,0,0,0,0,0,0,0,0,0,0,0,88,88,5,5,21,21
COVID 19,White,67.03,52,52,19,19,3,3,21,21,93,93,1,1,83,83,0,0
COVID 19,Black,13.7,40,40,81,81,0,0,0,0,0,0,0,0,1,1,0,0
COVID 19,Asian,3.14,7,7,0,0,97,97,79,79,5,5,1,1,6,6,95,95
COVID 19,Hispanic/Latino,14.87,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
COVID 19,Unknown,1.26,0,0,0,0,0,0,0,0,2,2,98,98,9,9,5,5
Hepatitis B,White,28.22790698,69,69,75,75,6,6,17,17,96,96,0,0,85,85,0,0
Hepatitis B,Black,30.39069767,7,7,23,23,0,0,0,0,2,2,0,0,0,0,0,0
Hepatitis B,Asian,28.95116279,23,23,1,1,94,94,83,83,0,0,5,5,5,5,55,55
Hepatitis B,Hispanic/Latino,16.5255814,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Hepatitis B,Unknown,0,0,0,0,0,0,0,0,0,1,1,95,95,10,10,45,45
HIV,White,24.52640175,1,1,17,17,31,31,67,67,90,90,0,0,66,66,1,1
HIV,Black,41.6575939,98,98,83,83,40,40,0,0,2,2,1,1,9,9,0,0
HIV,Asian,2.008709853,1,1,0,0,29,29,33,33,3,3,1,1,14,14,74,74
HIV,Hispanic/Latino,28.56287426,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0
HIV,Unknown,3.244420245,0,0,0,0,0,0,0,0,3,3,98,98,9,9,25,25
Huntington Disease,White,70.1,92,92,60,60,6,6,3,3,100,100,0,0,99,99,0,0
Huntington Disease,Black,14,3,3,38,38,0,0,0,0,0,0,0,0,0,0,0,0
Huntington Disease,Asian,3.3,5,5,2,2,94,94,97,97,0,0,6,6,0,0,84,84
Huntington Disease,Hispanic/Latino,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huntington Disease,Unknown,0,0,0,0,0,0,0,0,0,0,0,94,94,1,1,16,16
Hypertension,White,53.61078092,18,18,90,90,16,16,15,15,100,100,0,0,97,97,0,0
Hypertension,Black,14.6775707,1,1,8,8,4,4,0,0,0,0,0,0,0,0,0,0
Hypertension,Asian,15.95262347,71,71,2,2,80,80,85,85,0,0,4,4,1,1,67,67
Hypertension,Hispanic/Latino,16.96419164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,Unknown,0,10,10,0,0,0,0,0,0,0,0,96,96,2,2,33,33
Lupus,White,48.14814815,64,64,30,30,47,47,19,19,99,99,0,0,86,86,0,0
Lupus,Black,28.3775471,9,9,0,0,0,0,0,0,1,1,0,0,3,3,0,0
Lupus,Asian,6.04895553,27,27,0,0,53,53,79,79,0,0,12,12,1,1,75,75
Lupus,Hispanic/Latino,18.45315904,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Lupus,Unknown,0,0,0,70,70,0,0,2,2,0,0,88,88,9,9,25,25
Major Depressive Disorder,White,66.7,85,85,93,93,70,70,59,59,99,99,0,0,97,97,0,0
Major Depressive Disorder,Black,10.5,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
Major Depressive Disorder,Asian,3.7,7,7,0,0,30,30,41,41,0,0,7,7,1,1,77,77
Major Depressive Disorder,Hispanic/Latino,19.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Major Depressive Disorder,Unknown,0,0,0,0,0,0,0,0,0,0,0,93,93,2,2,23,23
Multiple Myeloma,White,65.45957959,22,22,100,100,11,11,7,7,100,100,0,0,92,92,0,0
Multiple Myeloma,Black,21.23210318,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
